Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
61,2015-09-21 14:53:16,2015-09-21 14:54:17,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24722,Subscriber,1975,1
290,2015-09-21 14:55:59,2015-09-21 15:00:50,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,24388,Customer,,0
786,2015-09-21 14:56:14,2015-09-21 15:09:21,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,24442,Subscriber,1962,1
477,2015-09-21 14:58:35,2015-09-21 15:06:32,3203,Hamilton Park,40.727595966,-74.044247311,3203,Hamilton Park,40.727595966,-74.044247311,24678,Subscriber,1977,2
451,2015-09-21 14:59:55,2015-09-21 15:07:27,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24574,Subscriber,1977,2
401,2015-09-21 15:06:03,2015-09-21 15:12:44,3195,Sip Ave,40.73074262530658,-74.06378388404846,3195,Sip Ave,40.73074262530658,-74.06378388404846,24520,Subscriber,1987,2
1215,2015-09-21 15:11:15,2015-09-21 15:31:31,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,24441,Subscriber,1964,1
1144,2015-09-21 15:11:31,2015-09-21 15:30:36,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,24719,Subscriber,1961,1
1967,2015-09-21 15:12:08,2015-09-21 15:44:56,3185,City Hall,40.7177325,-74.043845,3195,Sip Ave,40.73074262530658,-74.06378388404846,24706,Subscriber,1952,1
205,2015-09-21 15:16:43,2015-09-21 15:20:08,3195,Sip Ave,40.73074262530658,-74.06378388404846,3195,Sip Ave,40.73074262530658,-74.06378388404846,24555,Subscriber,1987,2
649,2015-09-21 15:18:09,2015-09-21 15:28:58,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24398,Subscriber,1962,1
550,2015-09-21 15:18:40,2015-09-21 15:27:51,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,24486,Subscriber,1967,1
2324,2015-09-21 15:20:36,2015-09-21 15:59:21,3212,Christ Hospital,40.734785818,-74.050443636,3212,Christ Hospital,40.734785818,-74.050443636,24392,Subscriber,1965,1
475,2015-09-21 15:20:50,2015-09-21 15:28:46,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,24484,Subscriber,1971,1
445,2015-09-21 15:21:49,2015-09-21 15:29:14,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24691,Customer,,0
236,2015-09-21 15:22:06,2015-09-21 15:26:02,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.727595966,-74.044247311,24400,Subscriber,1984,2
961,2015-09-21 15:26:43,2015-09-21 15:42:45,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24617,Subscriber,1983,1
355,2015-09-21 15:26:58,2015-09-21 15:32:54,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,24443,Subscriber,1982,1
192,2015-09-21 15:30:58,2015-09-21 15:34:10,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24442,Subscriber,1976,1
1812,2015-09-21 15:32:45,2015-09-21 16:02:58,3209,Brunswick St,40.7241765,-74.0506564,3195,Sip Ave,40.73074262530658,-74.06378388404846,24723,Subscriber,1961,1
1775,2015-09-21 15:33:34,2015-09-21 16:03:10,3209,Brunswick St,40.7241765,-74.0506564,3195,Sip Ave,40.73074262530658,-74.06378388404846,24701,Subscriber,1964,1
349,2015-09-21 15:36:12,2015-09-21 15:42:02,3203,Hamilton Park,40.727595966,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,24443,Subscriber,1982,1
513,2015-09-21 15:37:55,2015-09-21 15:46:28,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24486,Subscriber,1967,1
975,2015-09-21 15:38:05,2015-09-21 15:54:21,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24478,Subscriber,1970,1
1940,2015-09-21 15:41:08,2015-09-21 16:13:28,3217,Bayside Park,40.698650544,-74.082079678,3216,Columbia Park,40.6970299,-74.0969366,24547,Subscriber,1948,1
609,2015-09-21 15:41:47,2015-09-21 15:51:56,3195,Sip Ave,40.73074262530658,-74.06378388404846,3210,Pershing Field,40.742677141,-74.051788633,24529,Subscriber,1963,1
353,2015-09-21 15:43:35,2015-09-21 15:49:28,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,24556,Subscriber,1981,1
529,2015-09-21 15:46:28,2015-09-21 15:55:18,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,24655,Subscriber,1981,2
2478,2015-09-21 15:53:19,2015-09-21 16:34:38,3203,Hamilton Park,40.727595966,-74.044247311,3203,Hamilton Park,40.727595966,-74.044247311,24401,Customer,,0
1001,2015-09-21 15:57:05,2015-09-21 16:13:46,3195,Sip Ave,40.73074262530658,-74.06378388404846,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24706,Subscriber,1952,1
2066,2015-09-21 15:57:25,2015-09-21 16:31:51,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,24617,Subscriber,1985,1
200,2015-09-21 15:58:15,2015-09-21 16:01:35,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,24614,Subscriber,1983,1
1875,2015-09-21 16:00:13,2015-09-21 16:31:29,3196,Riverview Park,40.7443187,-74.0439909,3198,Heights Elevator,40.748715945380226,-74.04044330120087,24471,Subscriber,1989,2
395,2015-09-21 16:03:08,2015-09-21 16:09:43,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24388,Subscriber,1982,1
405,2015-09-21 16:03:27,2015-09-21 16:10:13,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24628,Subscriber,1980,1
572,2015-09-21 16:04:18,2015-09-21 16:13:51,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,24589,Subscriber,1944,1
1892,2015-09-21 16:06:13,2015-09-21 16:37:46,3195,Sip Ave,40.73074262530658,-74.06378388404846,3211,Newark Ave,40.72152515,-74.046304543,24523,Subscriber,1964,1
608,2015-09-21 16:06:40,2015-09-21 16:16:49,3196,Riverview Park,40.7443187,-74.0439909,3196,Riverview Park,40.7443187,-74.0439909,24720,Customer,,0
1752,2015-09-21 16:08:11,2015-09-21 16:37:23,3195,Sip Ave,40.73074262530658,-74.06378388404846,3211,Newark Ave,40.72152515,-74.046304543,24667,Subscriber,1961,1
127,2015-09-21 16:09:20,2015-09-21 16:11:28,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24427,Customer,,0
1210,2015-09-21 16:10:40,2015-09-21 16:30:50,3183,Exchange Place,40.7162469,-74.0334588,3196,Riverview Park,40.7443187,-74.0439909,24431,Subscriber,1976,1
375,2015-09-21 16:13:59,2015-09-21 16:20:14,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,24481,Subscriber,1982,1
1426,2015-09-21 16:15:34,2015-09-21 16:39:21,3216,Columbia Park,40.6970299,-74.0969366,3200,MLK Light Rail,40.7111305,-74.0788855,24547,Subscriber,1948,1
1118,2015-09-21 16:18:27,2015-09-21 16:37:06,3198,Heights Elevator,40.748715945380226,-74.04044330120087,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24500,Subscriber,1951,1
145,2015-09-21 16:23:15,2015-09-21 16:25:41,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,24387,Subscriber,1976,1
216,2015-09-21 16:26:42,2015-09-21 16:30:19,3185,City Hall,40.7177325,-74.043845,3183,Exchange Place,40.7162469,-74.0334588,24442,Subscriber,1976,1
703,2015-09-21 16:30:17,2015-09-21 16:42:00,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24521,Customer,,0
195,2015-09-21 16:34:02,2015-09-21 16:37:17,3198,Heights Elevator,40.748715945380226,-74.04044330120087,3196,Riverview Park,40.7443187,-74.0439909,24471,Subscriber,1989,2
515,2015-09-21 16:37:08,2015-09-21 16:45:44,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.727595966,-74.044247311,24641,Subscriber,1977,2
362,2015-09-21 16:39:42,2015-09-21 16:45:45,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3214,Essex Light Rail,40.7127742,-74.0364857,24687,Subscriber,1973,1
448,2015-09-21 16:41:19,2015-09-21 16:48:47,3211,Newark Ave,40.72152515,-74.046304543,3185,City Hall,40.7177325,-74.043845,24523,Subscriber,1961,1
511,2015-09-21 16:42:56,2015-09-21 16:51:28,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,24440,Subscriber,1991,1
287,2015-09-21 16:44:48,2015-09-21 16:49:35,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,24706,Subscriber,1972,2
1045,2015-09-21 16:47:00,2015-09-21 17:04:25,3187,Warren St,40.7211236,-74.03805095,3207,Oakland Ave,40.7376037,-74.0524783,24481,Subscriber,1989,1
5803,2015-09-21 16:47:50,2015-09-21 18:24:34,3188,NJCU,40.7101087,-74.0858489,3188,NJCU,40.7101087,-74.0858489,24409,Customer,,0
5762,2015-09-21 16:48:28,2015-09-21 18:24:31,3188,NJCU,40.7101087,-74.0858489,3188,NJCU,40.7101087,-74.0858489,24604,Customer,,0
1302,2015-09-21 16:49:20,2015-09-21 17:11:02,3195,Sip Ave,40.73074262530658,-74.06378388404846,3202,Newport PATH,40.7272235,-74.0337589,24490,Customer,,0
2254,2015-09-21 16:55:28,2015-09-21 17:33:02,3200,MLK Light Rail,40.7111305,-74.0788855,3195,Sip Ave,40.73074262530658,-74.06378388404846,24547,Subscriber,1948,1
